exchangeInstrumentID,symbol,reason
9599,DELHIVERY,no_fut_or_opt_pattern
5373,DEVYANI,no_fut_or_opt_pattern
10940,DIVISLAB,no_fut_or_opt_pattern
21690,DIXON,no_fut_or_opt_pattern
14732,DLF,no_fut_or_opt_pattern
19913,DMART,no_fut_or_opt_pattern
20551,DOMS,no_fut_or_opt_pattern
881,DRREDDY,no_fut_or_opt_pattern
2792,EASEMYTRIP,no_fut_or_opt_pattern
15179,ECLERX,no_fut_or_opt_pattern
910,EICHERMOT,no_fut_or_opt_pattern
916,EIDPARRY,no_fut_or_opt_pattern
919,EIHOTEL,no_fut_or_opt_pattern
13643,ELECON,no_fut_or_opt_pattern
937,ELGIEQUIP,no_fut_or_opt_pattern
13517,EMAMILTD,no_fut_or_opt_pattern
24398,EMCURE,no_fut_or_opt_pattern
18822,ENDURANCE,no_fut_or_opt_pattern
4907,ENGINERSIN,no_fut_or_opt_pattern
913,EQUITASBNK,no_fut_or_opt_pattern
21154,ERIS,no_fut_or_opt_pattern
958,ESCORTS,no_fut_or_opt_pattern
676,EXIDEIND,no_fut_or_opt_pattern
1008,FACT,no_fut_or_opt_pattern
1023,FEDERALBNK,no_fut_or_opt_pattern
1038,FINCABLES,no_fut_or_opt_pattern
3744,FINEORG,no_fut_or_opt_pattern
1041,FINPIPE,no_fut_or_opt_pattern
12032,FIVESTAR,no_fut_or_opt_pattern
13750,FLUOROCHEM,no_fut_or_opt_pattern
14592,FORTIS,no_fut_or_opt_pattern
14304,FSL,no_fut_or_opt_pattern
8828,GAEL,no_fut_or_opt_pattern
4717,GAIL,no_fut_or_opt_pattern
13776,GESHIP,no_fut_or_opt_pattern
277,GICRE,no_fut_or_opt_pattern
1576,GILLETTE,no_fut_or_opt_pattern
1186,GLAND,no_fut_or_opt_pattern
1153,GLAXO,no_fut_or_opt_pattern
7406,GLENMARK,no_fut_or_opt_pattern
5204,GMDCLTD,no_fut_or_opt_pattern
13528,GMRAIRPORT,no_fut_or_opt_pattern
1174,GNFC,no_fut_or_opt_pattern
1181,GODFRYPHLP,no_fut_or_opt_pattern
23799,GODIGIT,no_fut_or_opt_pattern
144,GODREJAGRO,no_fut_or_opt_pattern
10099,GODREJCP,no_fut_or_opt_pattern
10925,GODREJIND,no_fut_or_opt_pattern
17875,GODREJPROP,no_fut_or_opt_pattern
13409,GPIL,no_fut_or_opt_pattern
19731,GPPL,no_fut_or_opt_pattern
11872,GRANULES,no_fut_or_opt_pattern
592,GRAPHITE,no_fut_or_opt_pattern
1232,GRASIM,no_fut_or_opt_pattern
13560,GRINDWELL,no_fut_or_opt_pattern
5054,GRINFRA,no_fut_or_opt_pattern
5475,GRSE,no_fut_or_opt_pattern
1247,GSFC,no_fut_or_opt_pattern
13197,GSPL,no_fut_or_opt_pattern
10599,GUJGASLTD,no_fut_or_opt_pattern
16783,GVT&D,no_fut_or_opt_pattern
2303,HAL,no_fut_or_opt_pattern
48,HAPPSTMNDS,no_fut_or_opt_pattern
9819,HAVELLS,no_fut_or_opt_pattern
13966,HBLENGINE,no_fut_or_opt_pattern
7229,HCLTECH,no_fut_or_opt_pattern
4244,HDFCAMC,no_fut_or_opt_pattern
1333,HDFCBANK,no_fut_or_opt_pattern
467,HDFCLIFE,no_fut_or_opt_pattern
1336,HEG,no_fut_or_opt_pattern
1348,HEROMOTOCO,no_fut_or_opt_pattern
21951,HFCL,no_fut_or_opt_pattern
1363,HINDALCO,no_fut_or_opt_pattern
17939,HINDCOPPER,no_fut_or_opt_pattern
1406,HINDPETRO,no_fut_or_opt_pattern
1394,HINDUNILVR,no_fut_or_opt_pattern
1424,HINDZINC,no_fut_or_opt_pattern
2056,HOMEFIRST,no_fut_or_opt_pattern
19813,HONASA,no_fut_or_opt_pattern
3417,HONAUT,no_fut_or_opt_pattern
14334,HSCL,no_fut_or_opt_pattern
20825,HUDCO,no_fut_or_opt_pattern
4963,ICICIBANK,no_fut_or_opt_pattern
21770,ICICIGI,no_fut_or_opt_pattern
18652,ICICIPRULI,no_fut_or_opt_pattern
1476,IDBI,no_fut_or_opt_pattern
14366,IDEA,no_fut_or_opt_pattern
11184,IDFCFIRSTB,no_fut_or_opt_pattern
220,IEX,no_fut_or_opt_pattern
1491,IFCI,no_fut_or_opt_pattern
11262,IGL,no_fut_or_opt_pattern
11809,IIFL,no_fut_or_opt_pattern
23693,INDGN,no_fut_or_opt_pattern
1512,INDHOTEL,no_fut_or_opt_pattern
1515,INDIACEM,no_fut_or_opt_pattern
10726,INDIAMART,no_fut_or_opt_pattern
14309,INDIANB,no_fut_or_opt_pattern
11195,INDIGO,no_fut_or_opt_pattern
5258,INDUSINDBK,no_fut_or_opt_pattern
29135,INDUSTOWER,no_fut_or_opt_pattern
1594,INFY,no_fut_or_opt_pattern
20607,INOXINDIA,no_fut_or_opt_pattern
7852,INOXWIND,no_fut_or_opt_pattern
5926,INTELLECT,no_fut_or_opt_pattern
9348,IOB,no_fut_or_opt_pattern
1624,IOC,no_fut_or_opt_pattern
1633,IPCALAB,no_fut_or_opt_pattern
15313,IRB,no_fut_or_opt_pattern
4986,IRCON,no_fut_or_opt_pattern
13611,IRCTC,no_fut_or_opt_pattern
20261,IREDA,no_fut_or_opt_pattern
2029,IRFC,no_fut_or_opt_pattern
1660,ITC,no_fut_or_opt_pattern
29251,ITCHOTELS,no_fut_or_opt_pattern
1675,ITI,no_fut_or_opt_pattern
5633,J&KBANK,no_fut_or_opt_pattern
1726,JBCHEPHARM,no_fut_or_opt_pattern
11655,JBMA,no_fut_or_opt_pattern
3024,JINDALSAW,no_fut_or_opt_pattern
6733,JINDALSTEL,no_fut_or_opt_pattern
18143,JIOFIN,no_fut_or_opt_pattern
13270,JKCEMENT,no_fut_or_opt_pattern
13491,JKLAKSHMI,no_fut_or_opt_pattern
14435,JKTYRE,no_fut_or_opt_pattern
13637,JMFINANCIL,no_fut_or_opt_pattern
11763,JPPOWER,no_fut_or_opt_pattern
11236,JSL,no_fut_or_opt_pattern
17869,JSWENERGY,no_fut_or_opt_pattern
19020,JSWINFRA,no_fut_or_opt_pattern
11723,JSWSTEEL,no_fut_or_opt_pattern
18096,JUBLFOOD,no_fut_or_opt_pattern
2783,JUBLINGREA,no_fut_or_opt_pattern
3637,JUBLPHARMA,no_fut_or_opt_pattern
29962,JUSTDIAL,no_fut_or_opt_pattern
20224,JWL,no_fut_or_opt_pattern
15146,JYOTHYLAB,no_fut_or_opt_pattern
21334,JYOTICNC,no_fut_or_opt_pattern
1808,KAJARIACER,no_fut_or_opt_pattern
2955,KALYANKJIL,no_fut_or_opt_pattern
1196,KANSAINER,no_fut_or_opt_pattern
1838,KARURVYSYA,no_fut_or_opt_pattern
12092,KAYNES,no_fut_or_opt_pattern
13260,KEC,no_fut_or_opt_pattern
13310,KEI,no_fut_or_opt_pattern
13359,KFINTECH,no_fut_or_opt_pattern
4847,KIMS,no_fut_or_opt_pattern
18581,KIRLOSBROS,no_fut_or_opt_pattern
20936,KIRLOSENG,no_fut_or_opt_pattern
15283,KNRCON,no_fut_or_opt_pattern
1922,KOTAKBANK,no_fut_or_opt_pattern
1814,KPIL,no_fut_or_opt_pattern
9683,KPITTECH,no_fut_or_opt_pattern
14912,KPRMILL,no_fut_or_opt_pattern
1949,KSB,no_fut_or_opt_pattern
11654,LALPATHLAB,no_fut_or_opt_pattern
6818,LATENTVIEW,no_fut_or_opt_pattern
19234,LAURUSLABS,no_fut_or_opt_pattern
2606,LEMONTREE,no_fut_or_opt_pattern
1997,LICHSGFIN,no_fut_or_opt_pattern
9480,LICI,no_fut_or_opt_pattern
1627,LINDEINDIA,no_fut_or_opt_pattern
17313,LLOYDSME,no_fut_or_opt_pattern
3220,LODHA,no_fut_or_opt_pattern
11483,LT,no_fut_or_opt_pattern
24948,LTF,no_fut_or_opt_pattern
17818,LTIM,no_fut_or_opt_pattern
18564,LTTS,no_fut_or_opt_pattern
10440,LUPIN,no_fut_or_opt_pattern
2031,M&M,no_fut_or_opt_pattern
13285,M&MFIN,no_fut_or_opt_pattern
11377,MAHABANK,no_fut_or_opt_pattern
8050,MAHLIFE,no_fut_or_opt_pattern
2088,MAHSEAMLES,no_fut_or_opt_pattern
19061,MANAPPURAM,no_fut_or_opt_pattern
15380,MANKIND,no_fut_or_opt_pattern
8167,MANYAVAR,no_fut_or_opt_pattern
7227,MAPMYINDIA,no_fut_or_opt_pattern
4067,MARICO,no_fut_or_opt_pattern
10999,MARUTI,no_fut_or_opt_pattern
2124,MASTEK,no_fut_or_opt_pattern
22377,MAXHEALTH,no_fut_or_opt_pattern
509,MAZDOCK,no_fut_or_opt_pattern
31181,MCX,no_fut_or_opt_pattern
11956,MEDANTA,no_fut_or_opt_pattern
7242,METROBRAND,no_fut_or_opt_pattern
9581,METROPOLIS,no_fut_or_opt_pattern
2142,MFSL,no_fut_or_opt_pattern
17534,MGL,no_fut_or_opt_pattern
25897,MINDACORP,no_fut_or_opt_pattern
17957,MMTC,no_fut_or_opt_pattern
4204,MOTHERSON,no_fut_or_opt_pattern
14947,MOTILALOFS,no_fut_or_opt_pattern
4503,MPHASIS,no_fut_or_opt_pattern
2277,MRF,no_fut_or_opt_pattern
2283,MRPL,no_fut_or_opt_pattern
8596,MSUMI,no_fut_or_opt_pattern
23650,MUTHOOTFIN,no_fut_or_opt_pattern
357,NAM-INDIA,no_fut_or_opt_pattern
