exchangeInstrumentID,original_symbol,truedata_symbol
38453,NIFTY07OCT2526200CE,NIFTY25100726200CE
38318,NIFTY07OCT2524200PE,NIFTY25100724200PE
38242,NIFTY07OCT2523400PE,NIFTY25100723400PE
38276,NIFTY07OCT2523850PE,NIFTY25100723850PE
38323,NIFTY07OCT2524350CE,NIFTY25100724350CE
38454,NIFTY07OCT2526200PE,NIFTY25100726200PE
38238,NIFTY07OCT2523350PE,NIFTY25100723350PE
38362,NIFTY07OCT2524700PE,NIFTY25100724700PE
38414,NIFTY07OCT2525500PE,NIFTY25100725500PE
38214,NIFTY07OCT2523000PE,NIFTY25100723000PE
38244,NIFTY07OCT2523450PE,NIFTY25100723450PE
38237,NIFTY07OCT2523350CE,NIFTY25100723350CE
38359,NIFTY07OCT2524650CE,NIFTY25100724650CE
38448,NIFTY07OCT2526050PE,NIFTY25100726050PE
38449,NIFTY07OCT2526100CE,NIFTY25100726100CE
38201,NIFTY07OCT2522850CE,NIFTY25100722850CE
38463,NIFTY07OCT2526450CE,NIFTY25100726450CE
38309,NIFTY07OCT2524200CE,NIFTY25100724200CE
38450,NIFTY07OCT2526100PE,NIFTY25100726100PE
38212,NIFTY07OCT2522950PE,NIFTY25100722950PE
38358,NIFTY07OCT2524600PE,NIFTY25100724600PE
38222,NIFTY07OCT2523100PE,NIFTY25100723100PE
38419,NIFTY07OCT2525650CE,NIFTY25100725650CE
38466,NIFTY07OCT2526500PE,NIFTY25100726500PE
38462,NIFTY07OCT2526400PE,NIFTY25100726400PE
38452,NIFTY07OCT2526150PE,NIFTY25100726150PE
38319,NIFTY07OCT2524250CE,NIFTY25100724250CE
38422,NIFTY07OCT2525700PE,NIFTY25100725700PE
38322,NIFTY07OCT2524300PE,NIFTY25100724300PE
38416,NIFTY07OCT2525550PE,NIFTY25100725550PE
38408,NIFTY07OCT2525350PE,NIFTY25100725350PE
38430,NIFTY07OCT2525800CE,NIFTY25100725800CE
38223,NIFTY07OCT2523150CE,NIFTY25100723150CE
38320,NIFTY07OCT2524250PE,NIFTY25100724250PE
38267,NIFTY07OCT2523700CE,NIFTY25100723700CE
38275,NIFTY07OCT2523850CE,NIFTY25100723850CE
38387,NIFTY07OCT2525000CE,NIFTY25100725000CE
38224,NIFTY07OCT2523150PE,NIFTY25100723150PE
38187,NIFTY07OCT2522750CE,NIFTY25100722750CE
38412,NIFTY07OCT2525450PE,NIFTY25100725450PE
38401,NIFTY07OCT2525250CE,NIFTY25100725250CE
38379,NIFTY07OCT2524900PE,NIFTY25100724900PE
38441,NIFTY07OCT2526000CE,NIFTY25100726000CE
38421,NIFTY07OCT2525700CE,NIFTY25100725700CE
38458,NIFTY07OCT2526300PE,NIFTY25100726300PE
38325,NIFTY07OCT2524400CE,NIFTY25100724400CE
38248,NIFTY07OCT2523500PE,NIFTY25100723500PE
38341,NIFTY07OCT2524450CE,NIFTY25100724450CE
38352,NIFTY07OCT2524550PE,NIFTY25100724550PE
38270,NIFTY07OCT2523750PE,NIFTY25100723750PE
38213,NIFTY07OCT2523000CE,NIFTY25100723000CE
38464,NIFTY07OCT2526450PE,NIFTY25100726450PE
38368,NIFTY07OCT2524750PE,NIFTY25100724750PE
38287,NIFTY07OCT2524100CE,NIFTY25100724100CE
38437,NIFTY07OCT2525900CE,NIFTY25100725900CE
38273,NIFTY07OCT2523800CE,NIFTY25100723800CE
52145,BANKNIFTY25OCTFUT,BANKNIFTY25OCTFUT
455865,CRUDEOIL25OCTFUT,CRUDEOIL25OCTFUT
464932,CRUDEOIL16OCT255500CE,CRUDEOIL2510165500CE
464939,CRUDEOIL16OCT255150CE,CRUDEOIL2510165150CE
465007,CRUDEOIL16OCT255750PE,CRUDEOIL2510165750PE
465013,CRUDEOIL16OCT256050PE,CRUDEOIL2510166050PE
464986,CRUDEOIL16OCT255300PE,CRUDEOIL2510165300PE
465012,CRUDEOIL16OCT256000PE,CRUDEOIL2510166000PE
464982,CRUDEOIL16OCT255500PE,CRUDEOIL2510165500PE
464961,CRUDEOIL16OCT255950CE,CRUDEOIL2510165950CE
464984,CRUDEOIL16OCT255400PE,CRUDEOIL2510165400PE
465010,CRUDEOIL16OCT255900PE,CRUDEOIL2510165900PE
464983,CRUDEOIL16OCT255450PE,CRUDEOIL2510165450PE
465014,CRUDEOIL16OCT256100PE,CRUDEOIL2510166100PE
464957,CRUDEOIL16OCT255750CE,CRUDEOIL2510165750CE
465009,CRUDEOIL16OCT255850PE,CRUDEOIL2510165850PE
464934,CRUDEOIL16OCT255400CE,CRUDEOIL2510165400CE
465005,CRUDEOIL16OCT255650PE,CRUDEOIL2510165650PE
464927,CRUDEOIL16OCT255600CE,CRUDEOIL2510165600CE
464933,CRUDEOIL16OCT255450CE,CRUDEOIL2510165450CE
464959,CRUDEOIL16OCT255850CE,CRUDEOIL2510165850CE
464935,CRUDEOIL16OCT255350CE,CRUDEOIL2510165350CE
464988,CRUDEOIL16OCT255200PE,CRUDEOIL2510165200PE
465011,CRUDEOIL16OCT255950PE,CRUDEOIL2510165950PE
464937,CRUDEOIL16OCT255250CE,CRUDEOIL2510165250CE
464955,CRUDEOIL16OCT255650CE,CRUDEOIL2510165650CE
464928,CRUDEOIL16OCT255600PE,CRUDEOIL2510165600PE
464960,CRUDEOIL16OCT255900CE,CRUDEOIL2510165900CE
464936,CRUDEOIL16OCT255300CE,CRUDEOIL2510165300CE
465008,CRUDEOIL16OCT255800PE,CRUDEOIL2510165800PE
465006,CRUDEOIL16OCT255700PE,CRUDEOIL2510165700PE
464987,CRUDEOIL16OCT255250PE,CRUDEOIL2510165250PE
464981,CRUDEOIL16OCT255550PE,CRUDEOIL2510165550PE
464956,CRUDEOIL16OCT255700CE,CRUDEOIL2510165700CE
464958,CRUDEOIL16OCT255800CE,CRUDEOIL2510165800CE
464989,CRUDEOIL16OCT255150PE,CRUDEOIL2510165150PE
464963,CRUDEOIL16OCT256050CE,CRUDEOIL2510166050CE
464985,CRUDEOIL16OCT255350PE,CRUDEOIL2510165350PE
464962,CRUDEOIL16OCT256000CE,CRUDEOIL2510166000CE
464964,CRUDEOIL16OCT256100CE,CRUDEOIL2510166100CE
464938,CRUDEOIL16OCT255200CE,CRUDEOIL2510165200CE
464931,CRUDEOIL16OCT255550CE,CRUDEOIL2510165550CE
865360,SENSEX01OCT2578300CE,SENSEX25100178300CE
865386,SENSEX01OCT2580300PE,SENSEX25100180300PE
865168,SENSEX01OCT2579600PE,SENSEX25100179600PE
865096,SENSEX01OCT2579800CE,SENSEX25100179800CE
865306,SENSEX01OCT2581200PE,SENSEX25100181200PE
865433,SENSEX01OCT2580400CE,SENSEX25100180400CE
865260,SENSEX01OCT2578700PE,SENSEX25100178700PE
865121,SENSEX01OCT2579100CE,SENSEX25100179100CE
865352,SENSEX01OCT2580100PE,SENSEX25100180100PE
865253,SENSEX01OCT2580100CE,SENSEX25100180100CE
865233,SENSEX01OCT2581400CE,SENSEX25100181400CE
865142,SENSEX01OCT2578700CE,SENSEX25100178700CE
865228,SENSEX01OCT2578500PE,SENSEX25100178500PE
865479,SENSEX01OCT2579000CE,SENSEX25100179000CE
865102,SENSEX01OCT2581500CE,SENSEX25100181500CE
865292,SENSEX01OCT2578900PE,SENSEX25100178900PE
865133,SENSEX01OCT2579400PE,SENSEX25100179400PE
865340,SENSEX01OCT2578400PE,SENSEX25100178400PE
865009,SENSEX01OCT2580200PE,SENSEX25100180200PE
865486,SENSEX01OCT2579900CE,SENSEX25100179900CE
865224,SENSEX01OCT2580800CE,SENSEX25100180800CE
865379,SENSEX01OCT2579300CE,SENSEX25100179300CE
865218,SENSEX01OCT2581500PE,SENSEX25100181500PE
865417,SENSEX01OCT2580500PE,SENSEX25100180500PE
865130,SENSEX01OCT2581700CE,SENSEX25100181700CE
865087,SENSEX01OCT2581600PE,SENSEX25100181600PE
864985,SENSEX01OCT2581600CE,SENSEX25100181600CE
865045,SENSEX01OCT2579700PE,SENSEX25100179700PE
865066,SENSEX01OCT2581300CE,SENSEX25100181300CE
865113,SENSEX01OCT2578500CE,SENSEX25100178500CE
865016,SENSEX01OCT2579500PE,SENSEX25100179500PE
865275,SENSEX01OCT2578600CE,SENSEX25100178600CE
865319,SENSEX01OCT2582200PE,SENSEX25100182200PE
865455,SENSEX01OCT2580700PE,SENSEX25100180700PE
865448,SENSEX01OCT2579700CE,SENSEX25100179700CE
865037,SENSEX01OCT2581100CE,SENSEX25100181100CE
865105,SENSEX01OCT2579200PE,SENSEX25100179200PE
865333,SENSEX01OCT2582100CE,SENSEX25100182100CE
865487,SENSEX01OCT2580000PE,SENSEX25100180000PE
865249,SENSEX01OCT2581700PE,SENSEX25100181700PE
865409,SENSEX01OCT2579500CE,SENSEX25100179500CE
865337,SENSEX01OCT2580700CE,SENSEX25100180700CE
865001,SENSEX01OCT2581900PE,SENSEX25100181900PE
864978,SENSEX01OCT2580900PE,SENSEX25100180900PE
865426,SENSEX01OCT2579800PE,SENSEX25100179800PE
865071,SENSEX01OCT2579000PE,SENSEX25100179000PE
865190,SENSEX01OCT2578300PE,SENSEX25100178300PE
865449,SENSEX01OCT2582100PE,SENSEX25100182100PE
865462,SENSEX01OCT2579100PE,SENSEX25100179100PE
865165,SENSEX01OCT2581900CE,SENSEX25100181900CE
865200,SENSEX01OCT2581200CE,SENSEX25100181200CE
865305,SENSEX01OCT2578800CE,SENSEX25100178800CE
865075,SENSEX01OCT2579900PE,SENSEX25100179900PE
865324,SENSEX01OCT2580800PE,SENSEX25100180800PE
865060,SENSEX01OCT2582000PE,SENSEX25100182000PE
865181,SENSEX01OCT2581300PE,SENSEX25100181300PE
865398,SENSEX01OCT2580200CE,SENSEX25100180200CE
865014,SENSEX01OCT2581800CE,SENSEX25100181800CE
865406,SENSEX01OCT2578800PE,SENSEX25100178800PE
865242,SENSEX01OCT2578400CE,SENSEX25100178400CE
865311,SENSEX01OCT2580500CE,SENSEX25100180500CE
864989,SENSEX01OCT2579300PE,SENSEX25100179300PE
865298,SENSEX01OCT2580600PE,SENSEX25100180600PE
865367,SENSEX01OCT2580000CE,SENSEX25100180000CE
865059,SENSEX01OCT2579600CE,SENSEX25100179600CE
865277,SENSEX01OCT2581000PE,SENSEX25100181000PE
865119,SENSEX01OCT2581800PE,SENSEX25100181800PE
865377,SENSEX01OCT2578600PE,SENSEX25100178600PE
865143,SENSEX01OCT2581100PE,SENSEX25100181100PE
865371,SENSEX01OCT2580900CE,SENSEX25100180900CE
865002,SENSEX01OCT2579200CE,SENSEX25100179200CE
865474,SENSEX01OCT2580600CE,SENSEX25100180600CE
865180,SENSEX01OCT2578900CE,SENSEX25100178900CE
865283,SENSEX01OCT2580300CE,SENSEX25100180300CE
865469,SENSEX01OCT2582000CE,SENSEX25100182000CE
865160,SENSEX01OCT2581000CE,SENSEX25100181000CE
864995,SENSEX01OCT2582200CE,SENSEX25100182200CE
865035,SENSEX01OCT2580400PE,SENSEX25100180400PE
865051,SENSEX01OCT2581400PE,SENSEX25100181400PE
865031,SENSEX01OCT2579400CE,SENSEX25100179400CE
37054,NIFTY25NOVFUT,NIFTY25NOVFUT
37051,BANKNIFTY25NOVFUT,BANKNIFTY25NOVFUT
861384,SENSEX30OCT25FUT,
